rank,star,status,status_datetime,officer_id,trr_id
Lieutenant of Police,,SUBMITTED,2017-12-31 08:07:00 AM,312,24901
Lieutenant of Police,,APPROVED,2017-12-31 10:47:00 AM,23730,87157
Police Officer,,SUBMITTED,2017-12-31 11:39:00 AM,23398,25141
Police Officer,,SUBMITTED,2017-12-31 11:34:00 AM,26867,96044
Sergeant of Police,,SUBMITTED,2017-12-31 01:15:00 AM,18820,63115
Police Officer,,SUBMITTED,2017-12-31 11:32:00 AM,19280,86751
Sergeant of Police,,SUBMITTED,2017-12-31 01:14:00 AM,18820,63115
Police Officer,,SUBMITTED,2017-12-31 01:07:00 AM,29439,96389
Police Officer,,SUBMITTED,2017-12-31 02:28:00 AM,29439,96389
Sergeant of Police,,SUBMITTED,2017-12-31 02:44:00 AM,6736,6261
Police Officer,,SUBMITTED,2017-12-31 01:48:00 AM,27993,95583
Police Officer,,SUBMITTED,2017-12-31 02:31:00 AM,27993,95583
Sergeant of Police,,SUBMITTED,2017-12-31 03:08:00 AM,6736,6261
Sergeant of Police,,APPROVED,2017-12-31 06:03:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 05:19:00 AM,25163,85151
Police Officer,,SUBMITTED,2017-12-31 06:01:00 AM,25163,85151
Sergeant of Police,,APPROVED,2017-12-31 06:02:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 05:03:00 AM,27286,80176
Police Officer,,SUBMITTED,2017-12-31 04:21:00 AM,17604,91539
Police Officer,,SUBMITTED,2017-12-31 07:36:00 AM,17604,91539
Police Officer,,SUBMITTED,2017-12-31 04:41:00 AM,15228,80722
Police Officer,,SUBMITTED,2017-12-31 06:13:00 AM,15228,80722
Sergeant of Police,,APPROVED,2017-12-31 06:01:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 06:01:00 AM,27993,95583
Sergeant of Police,,SUBMITTED,2017-12-31 07:01:00 AM,6736,6261
Police Officer,,SUBMITTED,2017-12-31 08:19:00 AM,27993,95583
Police Officer,,SUBMITTED,2017-12-31 06:00:00 AM,29439,96389
Sergeant of Police,,SUBMITTED,2017-12-31 07:00:00 AM,6736,6261
Police Officer,,SUBMITTED,2017-12-31 08:11:00 AM,29439,96389
Sergeant of Police,,SUBMITTED,2017-12-31 09:27:00 AM,1148,80809
Sergeant of Police,,SUBMITTED,2017-12-31 09:27:00 AM,1148,80809
Sergeant of Police,,SUBMITTED,2017-12-31 09:26:00 AM,1148,80809
Police Officer,,SUBMITTED,2017-12-31 08:55:00 AM,24531,86538
Sergeant of Police,,SUBMITTED,2017-12-31 09:25:00 AM,1148,80809
Police Officer,,SUBMITTED,2017-12-31 04:41:00 AM,15147,95203
Sergeant of Police,,SUBMITTED,2017-12-31 05:16:00 AM,20773,92620
Police Officer,,SUBMITTED,2017-12-31 08:50:00 AM,6844,92351
Sergeant of Police,,SUBMITTED,2017-12-31 09:25:00 AM,7040,7254
Police Officer,,SUBMITTED,2017-12-31 09:42:00 AM,6844,92351
Police Officer,,SUBMITTED,2017-12-31 11:03:00 AM,1352,83286
Sergeant of Police,,SUBMITTED,2017-12-31 12:13:00 AM,4262,86936
Lieutenant of Police,,APPROVED,2017-12-31 10:49:00 AM,4118,80079
Sergeant of Police,,SUBMITTED,2017-12-31 04:38:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 09:31:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 12:32:00 AM,1199,95453
Sergeant of Police,,SUBMITTED,2017-12-31 01:43:00 AM,18820,63115
Police Officer,,SUBMITTED,2017-12-31 02:00:00 AM,1199,95453
Lieutenant of Police,,APPROVED,2017-12-31 02:13:00 AM,30029,6918
Lieutenant of Police,,APPROVED,2017-12-31 12:21:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 01:55:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 09:30:00 AM,1852,59407
Police Officer / Field Training Officer,,SUBMITTED,2017-12-31 07:32:00 AM,23737,92229
Lieutenant of Police,,APPROVED,2017-12-31 12:13:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 04:48:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 04:48:00 AM,1852,59407
Lieutenant of Police,,APPROVED,2017-12-31 12:11:00 AM,26556,77164
Sergeant of Police,,APPROVED,2017-12-31 04:47:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 04:47:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 09:42:00 AM,20796,67389
Lieutenant of Police,,APPROVED,2017-12-31 11:35:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 04:46:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 04:46:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 12:50:00 AM,13909,83384
Sergeant of Police,,SUBMITTED,2017-12-31 01:45:00 AM,4381,83399
Police Officer,,SUBMITTED,2017-12-31 11:32:00 AM,25557,93028
Police Officer,,SUBMITTED,2017-12-31 01:00:00 AM,25557,93028
Lieutenant of Police,,APPROVED,2017-12-31 12:56:00 AM,26281,67598
Lieutenant of Police,,APPROVED,2017-12-31 01:12:00 AM,26281,67598
Sergeant of Police,,APPROVED,2017-12-31 04:54:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 04:54:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 03:22:00 AM,6114,80117
Sergeant of Police,,SUBMITTED,2017-12-31 09:37:00 AM,15873,83930
Police Officer,,SUBMITTED,2017-12-31 10:59:00 AM,21253,87308
Sergeant of Police,,SUBMITTED,2017-12-31 09:29:00 AM,15873,83930
Police Officer,,SUBMITTED,2017-12-31 12:40:00 AM,21253,87308
Sergeant of Police,,SUBMITTED,2017-12-31 09:18:00 AM,15873,83930
Police Officer,,SUBMITTED,2017-12-31 11:02:00 AM,21253,87308
Lieutenant of Police,,SUBMITTED,2017-12-31 01:00:00 AM,4149,90854
Sergeant of Police,,SUBMITTED,2017-12-31 09:58:00 AM,15873,83930
Police Officer,,SUBMITTED,2017-12-31 10:53:00 AM,21253,87308
Sergeant of Police,,SUBMITTED,2017-12-31 02:27:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 10:33:00 AM,10298,12530
Police Officer,,SUBMITTED,2017-12-31 01:07:00 AM,10298,12530
Police Officer,,SUBMITTED,2017-12-31 11:23:00 AM,26558,89725
Police Officer,,SUBMITTED,2017-12-31 12:38:00 AM,26558,89725
Police Officer,,SUBMITTED,2017-12-31 04:25:00 AM,23700,86167
Police Officer,,SUBMITTED,2017-12-31 04:36:00 AM,789,76487
Police Officer,,SUBMITTED,2017-12-31 02:32:00 AM,24048,92536
Sergeant of Police,,SUBMITTED,2017-12-31 04:12:00 AM,11220,48762
Police Officer,,SUBMITTED,2017-12-31 04:37:00 AM,24048,92536
Police Officer,,SUBMITTED,2017-12-31 02:34:00 AM,23775,92001
Sergeant of Police,,SUBMITTED,2017-12-31 04:11:00 AM,11220,48762
Police Officer,,SUBMITTED,2017-12-31 04:32:00 AM,23775,92001
Sergeant of Police,,SUBMITTED,2017-12-31 05:18:00 AM,27587,66219
Police Officer,,SUBMITTED,2017-12-31 02:21:00 AM,9479,82785
Sergeant of Police,,SUBMITTED,2017-12-31 04:10:00 AM,11220,48762
Sergeant of Police,,SUBMITTED,2017-12-31 05:21:00 AM,21124,80623
Sergeant of Police,,SUBMITTED,2017-12-31 05:20:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 05:20:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 05:20:00 AM,21124,80623
Police Officer,,SUBMITTED,2017-12-31 04:34:00 AM,23865,95910
Police Officer,,SUBMITTED,2017-12-31 05:54:00 AM,23865,95910
Sergeant of Police,,SUBMITTED,2017-12-31 08:28:00 AM,31199,95528
Police Officer / Field Training Officer,,SUBMITTED,2017-12-31 06:07:00 AM,20149,83635
Sergeant of Police,,SUBMITTED,2017-12-31 07:00:00 AM,31199,95528
Sergeant of Police,,SUBMITTED,2017-12-31 07:37:00 AM,5000,53027
Police Officer,,SUBMITTED,2017-12-31 08:25:00 AM,24048,92536
Sergeant of Police,,SUBMITTED,2017-12-31 08:35:00 AM,11220,48762
Police Officer,,SUBMITTED,2017-12-31 05:52:00 AM,19673,92917
Sergeant of Police,,SUBMITTED,2017-12-31 07:06:00 AM,5204,26951
Lieutenant of Police,,APPROVED,2017-12-31 07:19:00 AM,14691,64531
Police Officer,,SUBMITTED,2017-12-31 02:11:00 AM,25177,80330
Police Officer,,SUBMITTED,2017-12-31 12:34:00 AM,4895,89995
Police Officer,,SUBMITTED,2017-12-31 02:45:00 AM,29521,58933
Sergeant of Police,,SUBMITTED,2017-12-31 05:20:00 AM,26516,82703
Sergeant of Police,,SUBMITTED,2017-12-31 05:20:00 AM,26516,82703
Sergeant of Police,,SUBMITTED,2017-12-31 04:41:00 AM,26516,82703
Sergeant of Police,,SUBMITTED,2017-12-31 04:40:00 AM,26516,82703
Sergeant of Police,,SUBMITTED,2017-12-31 04:40:00 AM,26516,82703
Sergeant of Police,,SUBMITTED,2017-12-31 03:07:00 AM,16297,83600
Lieutenant of Police,,APPROVED,2017-12-31 03:20:00 AM,26116,5060
Sergeant of Police,,SUBMITTED,2017-12-31 03:10:00 AM,16297,83600
Lieutenant of Police,,APPROVED,2017-12-31 03:17:00 AM,26116,5060
Sergeant of Police,,SUBMITTED,2017-12-31 05:24:00 AM,11252,40805
Police Officer,,SUBMITTED,2017-12-31 12:45:00 AM,21253,87308
Sergeant of Police,,APPROVED,2017-12-31 04:38:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 06:40:00 AM,15379,86845
Sergeant of Police,,SUBMITTED,2017-12-31 02:25:00 AM,639,4817
Sergeant of Police,,APPROVED,2017-12-31 11:49:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 04:11:00 AM,12029,85684
Sergeant of Police,,APPROVED,2017-12-31 07:40:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 07:40:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 02:26:00 AM,639,4817
Sergeant of Police,,APPROVED,2017-12-31 11:49:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 05:47:00 AM,26583,80068
Sergeant of Police,,APPROVED,2017-12-31 10:03:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 05:13:00 AM,26583,80068
Sergeant of Police,,APPROVED,2017-12-31 10:02:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 07:36:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 07:36:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 05:15:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 05:15:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 07:47:00 AM,23895,91313
Sergeant of Police,,SUBMITTED,2017-12-31 06:51:00 AM,24926,86601
Sergeant of Police,,SUBMITTED,2017-12-31 07:27:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 09:38:00 AM,17637,80892
Police Officer,,SUBMITTED,2017-12-31 09:49:00 AM,6005,92475
Sergeant of Police,,SUBMITTED,2017-12-31 07:47:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 07:47:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 07:48:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 07:48:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 11:13:00 AM,29791,14664
Sergeant of Police,,SUBMITTED,2017-12-31 12:07:00 AM,5690,80466
Lieutenant of Police,,APPROVED,2017-12-31 12:38:00 AM,25026,23835
Sergeant of Police,,APPROVED,2017-12-31 07:15:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 01:09:00 AM,19553,95661
Sergeant of Police,,SUBMITTED,2017-12-31 01:17:00 AM,1927,91410
Police Officer,,SUBMITTED,2017-12-31 01:42:00 AM,19553,95661
Sergeant of Police,,SUBMITTED,2017-12-31 04:29:00 AM,15379,86845
Sergeant of Police,,SUBMITTED,2017-12-31 04:44:00 AM,15379,86845
Police Officer,,SUBMITTED,2017-12-31 11:57:00 AM,29414,58149
Police Officer,,SUBMITTED,2017-12-31 11:40:00 AM,1829,83179
Police Officer,,SUBMITTED,2017-12-31 11:40:00 AM,28320,87297
Police Officer,,SUBMITTED,2017-12-31 01:29:00 AM,30398,39560
Sergeant of Police,,SUBMITTED,2017-12-31 06:08:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:35:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 11:16:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 01:58:00 AM,19164,14682
Sergeant of Police,,SUBMITTED,2017-12-31 06:20:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:33:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 11:13:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 06:18:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:31:00 AM,26556,77164
Sergeant of Police,,APPROVED,2017-12-31 04:31:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 06:15:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:30:00 AM,26556,77164
Sergeant of Police,,APPROVED,2017-12-31 04:31:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 01:51:00 AM,3516,79292
Sergeant of Police,,SUBMITTED,2017-12-31 06:11:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:28:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 11:07:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 06:06:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:26:00 AM,26556,77164
Sergeant of Police,,APPROVED,2017-12-31 04:31:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 02:43:00 AM,22735,84478
Sergeant of Police,,SUBMITTED,2017-12-31 06:05:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:24:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 11:04:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 02:33:00 AM,22295,85501
Sergeant of Police,,SUBMITTED,2017-12-31 06:03:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:22:00 AM,26556,77164
Sergeant of Police,,APPROVED,2017-12-31 04:31:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 06:02:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:20:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 11:00:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 05:56:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:17:00 AM,26556,77164
Sergeant of Police,,APPROVED,2017-12-31 04:31:00 AM,1852,59407
Police Officer / Field Training Officer,,SUBMITTED,2017-12-31 03:13:00 AM,19656,74465
Sergeant of Police,,SUBMITTED,2017-12-31 05:53:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 06:11:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 02:02:00 AM,1852,59407
Police Officer / Field Training Officer,,SUBMITTED,2017-12-31 03:25:00 AM,28184,40745
Sergeant of Police,,SUBMITTED,2017-12-31 05:30:00 AM,20932,86674
Lieutenant of Police,,APPROVED,2017-12-31 05:41:00 AM,26556,77164
Sergeant of Police,,SUBMITTED,2017-12-31 03:30:00 AM,1852,59407
Police Officer Assigned Canine Handler,,SUBMITTED,2017-12-31 05:30:00 AM,29230,80624
Sergeant of Police,,SUBMITTED,2017-12-31 06:29:00 AM,12384,2506
Sergeant of Police,,SUBMITTED,2017-12-31 05:40:00 AM,209,80049
Lieutenant of Police,,APPROVED,2017-12-31 05:46:00 AM,28130,67737
Police Officer,,SUBMITTED,2017-12-31 04:41:00 AM,464,82671
Sergeant of Police,,SUBMITTED,2017-12-31 05:37:00 AM,209,80049
Lieutenant of Police,,APPROVED,2017-12-31 05:43:00 AM,28130,67737
Sergeant of Police,,SUBMITTED,2017-12-31 11:55:00 AM,17510,95016
Sergeant of Police,,SUBMITTED,2017-12-31 06:29:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 06:30:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 03:57:00 AM,23700,86167
Sergeant of Police,,SUBMITTED,2017-12-31 07:30:00 AM,16115,39614
Police Officer,,SUBMITTED,2017-12-31 12:48:00 AM,14969,80801
Lieutenant of Police,,APPROVED,2017-12-31 02:06:00 AM,28130,67737
Lieutenant of Police,,APPROVED,2017-12-31 02:01:00 AM,28130,67737
Sergeant of Police,,SUBMITTED,2017-12-31 08:01:00 AM,17300,41279
Sergeant of Police,,APPROVED,2017-12-31 08:22:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 08:09:00 AM,17300,41279
Police Officer,,SUBMITTED,2017-12-31 11:32:00 AM,23116,92666
Sergeant of Police,,SUBMITTED,2017-12-31 04:16:00 AM,639,4817
Lieutenant of Police,,APPROVED,2017-12-31 07:13:00 AM,19892,75942
Police Officer,,SUBMITTED,2017-12-31 09:33:00 AM,29063,39960
Sergeant of Police,,SUBMITTED,2017-12-31 10:17:00 AM,23205,80605
Police Officer,,SUBMITTED,2017-12-31 10:25:00 AM,29063,39960
Lieutenant of Police,,APPROVED,2017-12-31 11:06:00 AM,19892,75942
Sergeant of Police,,SUBMITTED,2017-12-31 07:57:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 07:57:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 08:14:00 AM,25369,39754
Sergeant of Police,,SUBMITTED,2017-12-31 12:32:00 AM,25491,80358
Police Officer,,SUBMITTED,2017-12-31 08:55:00 AM,27074,40872
Police Officer,,SUBMITTED,2017-12-31 09:21:00 AM,27074,40872
Sergeant of Police,,SUBMITTED,2017-12-31 10:35:00 AM,1927,91410
Police Officer,,SUBMITTED,2017-12-31 09:13:00 AM,13375,89961
Sergeant of Police,,SUBMITTED,2017-12-31 01:26:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 09:32:00 AM,1852,59407
Sergeant of Police,,APPROVED,2018-12-30 12:13:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 11:47:00 AM,8355,83632
Sergeant of Police,,SUBMITTED,2017-12-31 01:26:00 AM,6254,67953
Police Officer as Detective,,SUBMITTED,2017-12-31 11:39:00 AM,15267,70107
Police Officer as Detective,,SUBMITTED,2017-12-31 11:37:00 AM,24513,13748
Police Officer as Detective,,SUBMITTED,2017-12-31 01:58:00 AM,16710,3516
Sergeant of Police,,SUBMITTED,2017-12-31 02:04:00 AM,20039,83901
Sergeant of Police,,SUBMITTED,2017-12-31 11:42:00 AM,6254,67953
Police Officer as Detective,,SUBMITTED,2017-12-31 01:22:00 AM,6629,87275
Sergeant of Police,,SUBMITTED,2017-12-31 09:59:00 AM,20039,83901
Police Officer,,SUBMITTED,2017-12-31 03:50:00 AM,6679,86676
Sergeant of Police,,SUBMITTED,2017-12-31 04:24:00 AM,29833,5105
Sergeant of Police,,APPROVED,2017-12-31 02:00:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 02:33:00 AM,21921,95923
Sergeant of Police,,SUBMITTED,2017-12-31 04:37:00 AM,29833,5105
Sergeant of Police,,APPROVED,2017-12-31 01:59:00 AM,1852,59407
Police Officer / Field Training Officer,,SUBMITTED,2017-12-31 02:46:00 AM,16393,91437
Sergeant of Police,,SUBMITTED,2017-12-31 03:46:00 AM,8214,25771
Sergeant of Police,,SUBMITTED,2017-12-31 07:26:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 07:26:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 07:24:00 AM,1852,59407
Sergeant of Police,,APPROVED,2017-12-31 07:24:00 AM,1852,59407
Police Officer,,SUBMITTED,2017-12-31 07:30:00 AM,10322,87524
Police Officer,,SUBMITTED,2017-12-31 02:10:00 AM,11511,82660
Sergeant of Police,,SUBMITTED,2017-12-31 02:46:00 AM,31948,80446
Police Officer,,SUBMITTED,2017-12-31 02:14:00 AM,23501,82678
Sergeant of Police,,SUBMITTED,2017-12-31 02:42:00 AM,31948,80446
Police Officer / Field Training Officer,,SUBMITTED,2017-12-31 08:01:00 AM,26445,86546
Sergeant of Police,,SUBMITTED,2017-12-31 08:27:00 AM,1,80382
Sergeant of Police,,APPROVED,2017-12-31 08:20:00 AM,1852,59407
Sergeant of Police,,SUBMITTED,2017-12-31 10:37:00 AM,10085,26840
Lieutenant of Police,,APPROVED,2017-12-31 02:40:00 AM,27736,64633
Police Officer,,SUBMITTED,2017-12-31 10:02:00 AM,3711,74918
Sergeant of Police,,SUBMITTED,2017-12-31 10:33:00 AM,10085,26840
Lieutenant of Police,,APPROVED,2017-12-31 02:37:00 AM,27736,64633
Police Officer,,SUBMITTED,2017-12-31 01:53:00 AM,17414,14365
